GameID,Name,Platform,Year_of_Release,Genre,Publisher,North America,European Union,Japan,Other,Developer
5054,Dance Dance Revolution Ultramix 3,XB,2005,Simulation,Konami Digital Entertainment,0.28,0.08,0,0.01,Konami
5057,Pro Evolution Soccer 2011 3D,3DS,2011,Sports,Konami Digital Entertainment,0.11,0.13,0.11,0.02,Konami
5058,Just Dance 2014,PS3,2013,Misc,Ubisoft,0.17,0.14,0,0.06,Ubisoft
5059,Wii Sports Club,WiiU,2014,Sports,Nintendo,0.17,0.14,0.04,0.03,Nintendo
5060,Harry Potter and the Prisoner of Azkaban,GC,2004,Action,Electronic Arts,0.29,0.08,0,0.01,EA Games
5064,Skylanders Giants,WiiU,2012,Action,Activision,0.22,0.12,0,0.03,Vicarious Visions
5065,GRID 2,PS3,2013,Racing,Codemasters,0.07,0.22,0.01,0.08,Codemasters
5068,Super Dragon Ball Z,PS2,2006,Fighting,Atari,0.09,0.07,0.19,0.02,Crafts & Meister
5076,Disney Sing It,PS3,2008,Misc,Disney Interactive Studios,0.28,0.06,0,0.04,Zoe Mode
5078,Ultimate Spider-Man,GC,2005,Action,Activision,0.29,0.07,0,0.01,Treyarch
5080,Major League Baseball 2K6,X360,2006,Sports,Spike,0.34,0,0,0.03,Kush Games
5083,NBA 2K7,PS3,2006,Sports,Take-Two Interactive,0.3,0.04,0,0.03,Visual Concepts
5086,Just Dance 4,WiiU,2012,Misc,Ubisoft,0.21,0.13,0,0.03,Ubisoft Paris
5088,"Monsters, Inc. Scream Arena",GC,2002,Platform,THQ,0.29,0.07,0,0.01,Radical Entertainment
5092,Need for Speed: Hot Pursuit,PC,2010,Racing,Electronic Arts,0.12,0.2,0,0.05,Criterion Games
5093,Rampage: Total Destruction,PS2,2006,Action,Midway Games,0.18,0.14,0,0.05,"Pipeworks Software, Inc."
5094,High Heat Major League Baseball 2003,PS2,2002,Sports,3DO,0.18,0.14,0,0.05,3DO
5095,Trivial Pursuit,X360,2009,Misc,Electronic Arts,0.12,0.21,0,0.04,EA Bright Light
5097,Kingdom Under Fire: Circle of Doom,X360,2007,Role-Playing,Microsoft Game Studios,0.18,0.12,0.04,0.03,Blueside
